High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
4090,3638,2742,3947,2575,2936.3,164.5,6,18.9,17.6,167.8,186.1,3497.3,13.52,22.12,3.82,57.5,17.4,5.2
3512,4090,2770,3461,2589,2550.8,171.5,7,229,10.7,-30.6,165.4,3103.8,11.81,24.81,3.14,42.5,13.6,3
3533,3512,2691,3502,2539,2482.8,173.5,6.7,241,10.8,22.4,175.8,3113,14.09,25.04,3.16,48.38,22.9,2.5
3376,3533,2686,3308,2552,2405.1,166.7,6,262.5,9,12.5,174.5,3036.2,17.05,17.55,4.32,56.25,19.9,7
3426,3376,2283,3315,2210,2371.5,169.3,6,157,11,30.4,159.8,2905,19.08,20.21,4.37,70.13,28,11.9
3406,3426,2529,3317,2426,2426.8,184.7,6,163.8,22.3,42.9,160,3006.4,16.4,23,4.66,48.38,26.1,8.4
3401,3406,2508,3310,2394,2285.1,194,6,241.4,17.7,54.5,168.6,2967.4,14.7,23.78,3.23,48.38,29.5,6.2
3407,3401,2518,3327,2405,2293,190.3,6,238.8,6.7,26.2,196.3,2957.2,15.02,11.51,1.73,69.63,26.1,10.9
3353,3407,2503,3284,2382,2349.6,189.7,5.8,106.3,3.2,84.8,221.5,2960.8,14.15,16.84,2.55,65.25,22.2,8.6
3383,3353,2345,3353,2243,2259,179.5,6.4,213.4,2.4,65,196.6,2922.3,15.52,24.79,3.55,59.38,21.1,6.4
3376,3383,2541,3340,2406,2296.5,178.8,7,252.2,6.1,37.3,189,2966.9,16.1,11.93,3.68,67.75,21.8,9.7
3385,3376,2522,3340,2409,2407.4,177.6,7,113.8,11.5,73.7,184.5,2975.4,14.54,17.46,3.54,64.25,23.3,9.3
3368,3385,2510,3333,2380,2328.3,182.5,7,156.2,9.3,46.4,229,2958.5,14.84,26.04,2.66,58.88,21.3,7.5
3257,3368,2527,3187,2396,2220.4,177.9,7,227.7,4.3,15.1,240.1,2892.5,15.28,22.87,2.86,62.13,21.7,7.4
3433,3257,2167,3301,2073,2143.2,173.3,6,285.2,15,10,227.7,2860.3,18.55,14.32,2.54,52,28.2,12.6
3348,3433,2446,3272,2301,2314.5,171.9,6,157.3,3.7,27.1,218.6,2899.1,16.18,5.44,1.59,87.63,31.4,13.3
3369,3348,2453,3293,2324,2436.6,174.3,6,44.1,5.9,35.9,252.3,2955,20.77,23.44,2.61,64.25,24.2,13.3
3557,3369,2480,3381,2343,2303.5,175.3,6,252.8,12.4,34.3,231.3,3015.6,21.11,22.47,2.78,65.88,18.7,13.2
3682,3557,2502,3348,2347,2277,177.5,6,252,5,52.1,275.1,3044.8,17.07,3.08,2.95,91.75,28.4,13.6
3360,3682,2229,3281,2122,2346.4,188.4,6.4,87.8,2.9,49.9,197,2878.8,18.47,18.82,2.66,68.38,23.9,13.2
3423,3360,2433,3274,2294,2289,182.5,6.5,203,7.4,42.4,192.3,2923.1,16.79,9.35,2.5,71.5,24.6,13.3
3314,3423,2445,3258,2296,2394.5,189.9,6.5,100.7,2.7,27.3,186.4,2907.9,17.83,17.38,2.15,74.88,25.1,12.9
3413,3314,2453,3296,2316,2322.4,195.5,6.3,188,1,23,205.7,2942,19.73,28.45,2.56,69.13,22.8,11.7
3495,3413,2444,3287,2310,2233,191.8,6,288.9,1.4,33.3,212,2966.3,22.1,27.86,2.4,63,24,13.8
3833,3495,2320,3473,2193,2348.8,194.4,6,278.6,4.4,-7.2,266.1,3091.1,22.51,26.39,3.9,63,33.3,15.6
3751,3833,2526,3431,2354,2350.8,203.3,6,278.7,3.7,33.4,233.8,3109.8,21.65,13.71,2.82,70.25,33.1,15.7
