High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
3560,3560,2569,3364,2444,2468.8,156.5,3,195.9,5.3,23.6,204,3057.1,14.74,3.06,2.3,78.38,22.4,8.5
3674,3560,2523,3465,2394,2666.7,156.3,3,35.3,11.1,42,208,3122.5,13.81,14.07,3.75,54.38,22.8,5.3
3643,3674,2599,3502,2458,2529.3,156.9,3,197.1,15.4,-25.4,227.6,3103.8,12.03,11.49,1.97,63.88,20.5,2.5
3615,3643,2641,3444,2498,2558.7,154,3,165.6,9.8,43,210.8,3145,14.1,11.19,4.43,58,22.3,5.6
3702,3615,2433,3539,2334,2601.2,157,3.7,165.6,5.9,43.8,169.2,3146.4,12.23,3.98,1.63,87.38,17.9,6.2
3845,3702,2637,3623,2488,2774,157.8,2.9,57.4,9,77.9,184.9,3263.9,12.34,10.11,2.07,78.38,20.8,6.1
3718,3845,2666,3558,2522,2744.5,162.1,3,132.8,11,-11,166.7,3209,10.2,11.73,2.74,58.5,17.5,2.5
3816,3718,2686,3679,2547,2788.5,141.8,3,183.1,10.7,-19.7,137.6,3245,8.59,12.39,1.88,63.25,19.1,0.1
3832,3816,2761,3674,2605,2826.4,145.3,2.8,184.1,3.3,-2,150,3309.9,9.32,1.87,2.38,74.63,17.5,5.2
4263,3832,2703,4113,2565,3182.1,137.1,3.6,81.2,7.7,52.8,142.2,3606.7,6.84,12.89,3.14,50.5,15.4,-0.2
4192,4263,3062,4091,2767,3064.1,135.3,3.7,188.5,10.1,25.5,153.6,3580.9,6.44,7.01,1.67,69.13,12.2,-1.2
4239,4192,3076,4026,2840,3216.9,131.2,4,123.6,5.9,24.5,160.7,3666.8,9.91,5.89,2.58,77.5,14.7,3.8
3995,4239,2826,3860,2663,2943.4,139.4,3,167.4,12.7,11,158,3434.8,7.87,11.9,1.91,58,17.6,-1
3988,3995,2548,3792,2434,2896.3,121.4,3,130.7,10.5,-3.9,157.7,3315.6,11,7.46,1.79,75.75,18.2,1.5
3909,3988,2760,3749,2599,2944.3,123.9,3,85.4,4.3,32,183,3376,11.77,10.7,1.73,72.75,17.4,2
3749,3909,2793,3581,2640,2775,129.2,3,161.9,14,6.7,197.8,3287.5,10.67,2.81,2.19,76.5,19.8,5.6
4062,3749,2711,3857,2578,3064.6,134.8,2.9,31.7,9.3,29.8,164.7,3437.7,8.39,7.58,2.34,78.13,21.5,4.1
4084,5406,2525,3860,2323,2816.3,157.7,7,105,3,10.6,257.3,3356.9,26.04,5.17,5.25,85.63,27.5,20.8
4484,4084,2844,4106,2585,3044.8,163.3,7,91.6,15.8,71.3,268,3661.8,27.29,20.59,5.21,75,30.2,21.4
4766,4484,3051,4147,2680,3086.6,143.2,6.7,238.1,20.3,-29,317.9,3783.9,26.65,14.79,3.18,70,31.9,20.3
4608,4766,3001,4115,2691,2979,175.7,7,205.6,11,-5.9,354.1,3726.4,26.52,11.54,4.11,77.5,33.9,20.7
4487,4608,2976,4080,2668,2889.3,184.5,7,139.2,16,61.1,402.9,3700,26.97,14.52,4.26,79.13,31.5,21.2
4582,4487,2782,3886,2513,2947.5,176.6,7,118.8,6,82.5,269.1,3607.5,21.71,11.09,3.34,75.25,33.1,17.6
3829,4582,2792,3475,2534,2551.1,174.9,5,157.9,8.8,35.1,294.5,3227.2,20.67,10.33,2.76,67.38,30.7,15.7
3682,3829,2598,3398,2401,2526.3,172,2.9,147.5,10.6,-23.2,262,3098.3,21.93,16.6,1.98,75.75,26.8,16.1
3814,3682,2566,3612,2374,2522.6,165.4,2.7,177.8,4.9,45.2,274.4,3193,22.14,9.63,1.7,87.5,25.6,19.3
3803,3814,2683,3526,2463,2608.5,170.3,2.4,99.3,2.3,64.2,274.6,3221.5,21.06,5.3,1.48,93.75,27.5,19.1
