High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
4247,4218,3144,4119,2903,3233.3,121.8,7.3,168.6,2.8,-7.9,158.5,3684.5,4.96,4.78,2.35,72.63,13.4,-1.7
4425,4247,3149,4249,2903,3399.6,133.1,7.1,77.2,9.7,8,226.8,3861.5,4.82,11.16,2.04,59.88,12.9,-2.5
4078,4425,2856,3953,2664,2985.2,122.9,6.6,169.8,19.1,-25.5,236.8,3515,5.97,11.41,4.21,35.14,14.5,-0.9
4363,4078,3022,4227,2865,3206.2,119.6,7.3,167.2,15.3,28.9,168.4,3712.8,4.15,10.3,2.66,46,17.8,-3.5
4437,4363,3237,4336,2966,3355.3,119,7.8,157.6,12.7,7.5,158,3817.9,4.39,11.35,3.27,45.75,10.7,-3.9
4515,4437,3320,4381,3030,3424.4,115.2,7.9,168.5,12.8,3.2,147.2,3879,4.6,8.78,1.52,54.5,11.3,-1.6
4498,4515,3322,4295,3021,3491.2,122,7.1,120.5,3.6,15.5,151.6,3911.5,6.85,8.87,2.17,57.13,11,-1.2
4535,4498,3139,4432,2895,3414.3,127.5,7.2,156,7.3,49.3,130.9,3892.5,5.03,10.66,2.67,54.5,11.8,-4.3
4435,4535,3378,4302,3084,3398.9,108.4,7.5,163.1,15.6,4.5,182.4,3880.4,4.19,10.48,1.69,55.63,10.8,-3.7
4437,4435,3309,4344,3026,3448,121.8,7.1,150.3,6.2,-18.3,166.5,3881.5,4.22,10.55,2.09,62.88,14,-4
4565,4437,3345,4352,3050,3373.1,122.3,7.4,157,6.3,32.2,212.9,3911.3,4.55,10.41,1.7,63.13,11.3,-4.2
4566,4565,3362,4199,3052,3365.4,121,7.8,144,3.9,19.6,206.4,3868,6.01,10.53,1.83,59.38,13,-3.7
4160,4566,2864,4054,2687,3056.3,125.9,7.5,164.6,23.8,-62,213.7,3529.8,6.3,10.88,3.55,48.5,15.8,-2.2
4162,4160,3098,4057,2843,3123.3,119,8,165.4,19.3,9.8,193.6,3638.4,3.45,11.02,3.76,46.63,16.8,-2.9
4413,4162,3162,4307,2907,3228.9,118.4,7.9,150.3,23,69.5,182.9,3780.9,3,11.46,2.55,48.63,13.4,-4.9
3982,4413,2843,3958,2578,3007,89.4,7.5,155.7,9.3,-48.1,122.7,3343.4,2.47,6.44,1.65,59.25,11.7,-3.5
4415,3982,3006,4254,2690,3408.4,111,8,97.1,4.3,30.6,116.4,3775.8,3.45,11.26,2.03,57.88,10.5,-6.2
4352,4415,3036,4118,2774,3200.7,117.3,7.3,114.9,25.5,-3.4,201.4,3663.7,6.42,11.59,4.8,41.5,11.4,-2.9
4359,4352,3138,4260,2919,3226.6,123.2,8,173.3,20.9,18.7,186.1,3756.7,4.03,12.41,3.47,38.5,16.4,-3.3
4588,4359,3213,4493,2986,3404.9,115.8,8,173.2,15.8,-10.2,180.7,3888,1.48,11.51,2.07,41.63,12.5,-7
4666,4588,3450,4556,3146,3566.5,111.8,7.9,169.1,6.9,45,163.3,4070.6,1.67,12.2,2.29,49.75,10.2,-6.5
4676,4666,3222,4481,2973,3324.2,110,7.9,151.4,14.2,139.2,237.3,3984.2,5.88,11.14,1.69,60.63,10.8,-3.4
4441,4676,3399,4203,3101,3430.2,108.1,7.5,158.1,9.8,-112.1,240,3841.6,7.18,3.33,2.6,81.75,12.7,-0.1
4502,4441,3211,4279,2931,3463.8,114.1,7.9,39.2,13,-27.7,264.4,3874.6,8.49,10.39,2.11,73.88,14.6,1.1
4188,4502,3098,4073,2873,3151.3,117.1,8.4,155.3,11.1,-24,248.4,3667.5,7.17,10,2.43,57.88,17.5,-0.9
4269,4188,3082,4108,2861,3244.6,110.4,8,141.8,10.4,-78,266.3,3703.5,6.06,10.15,1.68,67,15.8,0.7
5101,4269,2960,4857,2777,3483.3,125.8,7,25.7,19.6,201.8,356,4219.1,3.11,10.21,3.61,70,13,-5.9
4641,5101,3597,4508,3252,3673,102.5,7,18.5,18.4,24.6,233.9,4077.9,0.99,10.89,4.05,46.88,7.8,-8.6
4927,4641,3489,4861,3195,3705.6,119.9,7,41.5,18.4,-176.6,422.7,4138.5,-0.73,13.98,3.38,35.88,11.4,-8
5110,4927,3779,5015,3420,3758.8,123.9,7,89.5,20.5,-1.7,354.2,4352.2,-0.49,13.89,3.61,40.38,7.6,-9.8
5124,5110,3847,5013,3449,3761.8,134.7,7,104.3,20.4,-76.8,419.7,4371.1,0.99,13.95,3.26,39,6.1,-8.7
4767,5124,3416,4582,3115,3542.7,112.4,8,166.8,12,-91,330.1,4080.9,2.42,12.41,2.4,53.63,8.6,-3.1
4794,4767,3493,4697,3199,3539.3,113.6,8,167.8,8.8,2.7,322.8,4162.9,2.78,13.44,1.83,52.38,11,-6.1
4683,4794,3589,4534,3269,3502.6,107.3,8,188.3,5.6,-59.2,334.3,4086.9,2.54,4.52,2.32,73.75,7.8,-1.6
4978,4683,3494,4818,3129,3615.5,110.5,8,71.5,7.6,77,357.9,4247.9,2.08,6.26,2.43,86.38,9.7,-0.6
